,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_dual,param_loss,param_penalty,param_tol,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,C,dual,loss,penalty,tol
25,6.720716524124145,3.553031135589103,0.0,0.0,0.01,True,hinge,l1,0.0001,,,,,,,,73,0.01,True,hinge,l1,0.0001
26,7.199925518035888,3.004700306453334,0.0,0.0,0.01,True,hinge,l1,1e-05,,,,,,,,73,0.01,True,hinge,l1,1e-05
27,8.456841135025025,3.3701977997118417,2.264602279663086,0.5691692773506835,0.01,True,hinge,l2,0.001,0.27420692141312186,0.2861211247296323,0.26155371304974767,0.2726027397260274,0.29003244412400864,0.2769033886085076,0.010185458397471927,56,0.01,True,hinge,l2,0.001
28,20.626950979232788,5.364964650272475,1.9023449420928955,0.5720641786019841,0.01,True,hinge,l2,0.0001,0.2671232876712329,0.2742429704397981,0.2908255227108868,0.26820475847152125,0.2580569574621485,0.27169069935111756,0.01087701709003256,60,0.01,True,hinge,l2,0.0001
29,45.00790934562683,10.631673427562882,1.7436137676239014,0.8677274568207195,0.01,True,hinge,l2,1e-05,0.24803532804614276,0.29251982696467194,0.25322638788752705,0.2831831290555155,0.28610310021629415,0.2726135544340303,0.01827509167271793,59,0.01,True,hinge,l2,1e-05
30,6.871540689468384,1.2897863445957947,0.0,0.0,0.01,True,squared_hinge,l1,0.001,,,,,,,,73,0.01,True,squared_hinge,l1,0.001
31,6.6229146957397464,1.1632057924564798,0.0,0.0,0.01,True,squared_hinge,l1,0.0001,,,,,,,,73,0.01,True,squared_hinge,l1,0.0001
32,6.053869199752808,0.49053734629628,0.0,0.0,0.01,True,squared_hinge,l1,1e-05,,,,,,,,73,0.01,True,squared_hinge,l1,1e-05
33,10.025038623809815,1.0072623855088092,1.7458251476287843,0.5792287273684026,0.01,True,squared_hinge,l2,0.001,0.4093006488824802,0.4110310021629416,0.4097332372025955,0.40717375630857966,0.4110310021629416,0.40965392934390776,0.0014195079572787352,33,0.01,True,squared_hinge,l2,0.001
34,9.50848741531372,1.2105436284952054,1.7068201541900634,0.6709908010307145,0.01,True,squared_hinge,l2,0.0001,0.4093006488824802,0.4110310021629416,0.4097332372025955,0.40717375630857966,0.4110310021629416,0.40965392934390776,0.0014195079572787352,33,0.01,True,squared_hinge,l2,0.0001
35,7.902474069595337,0.3918024106400513,1.9049965381622314,0.3957554460587908,0.01,True,squared_hinge,l2,1e-05,0.4093006488824802,0.4110310021629416,0.4097332372025955,0.40717375630857966,0.4110310021629416,0.40965392934390776,0.0014195079572787352,33,0.01,True,squared_hinge,l2,1e-05
36,7.2544022560119625,1.5772434745371027,0.0,0.0,0.01,False,hinge,l1,0.001,,,,,,,,73,0.01,False,hinge,l1,0.001
