,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_criterion,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,min_samples_split,min_samples_leaf,max_leaf_nodes,max_depth,criterion
19,5.308487462997436,0.6664982178707013,2.3190640926361086,0.5558147410128526,450,800,30,43,entropy,0.5375045737285035,0.554714410083652,0.5449613283369292,0.5406152215605128,0.5323256283435954,0.5420242324106386,0.007564954578593557,34,450,800,30,43,entropy
20,2.7481594562530516,0.18045949440022643,0.0,0.0,200,450,0,16,entropy,,,,,,,,41,200,450,0,16,entropy
21,5.062232589721679,0.6092658986870099,2.2223789215087892,0.6985278653303545,650,900,40,15,entropy,0.542021524912626,0.5522792939424909,0.5497053887984658,0.5427223175532452,0.5422554759261129,0.545796800226588,0.004325411300835218,26,650,900,40,15,entropy
22,5.124071025848389,0.4122298749943705,2.322475290298462,0.23701299056603908,900,150,70,8,entropy,0.5471945695648334,0.5559130423811146,0.5484058190443746,0.5432774805692945,0.5388740284647219,0.5467329880048678,0.005674303415663263,25,900,150,70,8,entropy
23,6.8614006519317625,0.9416142249100161,2.437075901031494,0.8528725576240329,550,350,100,44,entropy,0.5649974134776738,0.5660067880439582,0.5634328828999331,0.5558191177954981,0.5498889673967902,0.5600290339227707,0.006205624393149563,3,550,350,100,44,entropy
24,5.4311645984649655,0.777753191464854,2.646222639083862,0.6812257438662127,650,250,60,29,entropy,0.5576920650541908,0.561792649229721,0.5580705805165475,0.5488417280710609,0.5457757141415162,0.5544345474026072,0.006070071532905018,13,650,250,60,29,entropy
25,5.294986724853516,0.4165611844600784,1.5225755214691161,0.6459860442748114,500,650,30,10,entropy,0.5373657847256393,0.5495665997956016,0.5449613283369292,0.5375618249722418,0.5323256283435954,0.5403562332348015,0.006120128557904989,36,500,650,30,10,entropy
26,5.127191734313965,0.6546881481563617,1.9316615104675292,0.7211179672198623,900,850,40,6,entropy,0.5414916032653267,0.5538438245202316,0.5478506630329182,0.5396184515998789,0.5377763197738973,0.5441161724384506,0.005931023906861676,33,900,850,40,6,entropy
27,4.603027725219727,0.7860427376731354,1.7817793846130372,0.49517124692225073,450,400,20,43,entropy,0.5500460527145867,0.5514970286536205,0.5441285943197446,0.5385081255677804,0.536565055011608,0.5441489712534681,0.005968330723874514,30,450,400,20,43,entropy
28,5.3264813899993895,0.6916988176220453,1.8223654270172118,0.32392315745653094,100,200,100,47,entropy,0.5639123358189182,0.5658553818590156,0.5637735468160541,0.5542798021600889,0.5507090945795902,0.5597060322467333,0.006040546755166342,5,100,200,100,47,entropy
29,6.253476810455322,0.2482963689782853,1.1465696334838866,0.2117731650719184,200,450,70,20,entropy,0.561313196310736,0.5649217103852026,0.5613384306748931,0.5525259917230241,0.5459145048955284,0.5572027667978768,0.006969627227692058,10,200,450,70,20,entropy
30,5.488036870956421,0.643604287720687,2.1927832126617433,1.1166775205447887,100,50,20,10,entropy,0.5500460527145867,0.5514970286536205,0.5441285943197446,0.5385081255677804,0.536565055011608,0.5441489712534681,0.005968330723874514,30,100,50,20,10,entropy
31,1.8573640823364257,0.24294236358791935,0.0,0.0,400,750,0,22,entropy,,,,,,,,41,400,750,0,22,entropy
32,1.2002378940582275,0.2646937836277677,0.0,0.0,0,200,0,39,entropy,,,,,,,,41,0,200,0,39,entropy
33,5.616472053527832,1.146272861000483,1.53010892868042,0.33350589504123895,550,450,60,36,entropy,0.5577551509645836,0.561792649229721,0.5580705805165475,0.5488417280710609,0.5457757141415162,0.5544471645846858,0.0060768911932324934,12,550,450,60,36,entropy
34,5.77548770904541,1.024213817941449,1.8445047855377197,0.37832661788115224,750,350,60,16,entropy,0.5576920650541908,0.561792649229721,0.5580705805165475,0.5488417280710609,0.5457757141415162,0.5544345474026072,0.006070071532905018,13,750,350,60,16,entropy
35,5.974893999099732,0.8729144270232273,1.6567105770111084,0.3399958801539034,800,500,60,36,entropy,0.5577551509645836,0.5620954615996063,0.5580705805165475,0.5530180680327041,0.5486903199757747,0.5559259162178434,0.004622086303315995,11,800,500,60,36,entropy
36,6.477214050292969,0.2850121141159997,2.175336790084839,0.7260855238746342,600,300,60,28,entropy,0.5576920650541908,0.561792649229721,0.5580705805165475,0.5488417280710609,0.5457757141415162,0.5544345474026072,0.006070071532905018,13,600,300,60,28,entropy
37,4.625449132919312,0.44318880999501326,1.929042911529541,0.8598895779114267,900,700,40,40,entropy,0.5426271496523967,0.5522792939424909,0.556695307669985,0.5460028262844453,0.5432900979105683,0.5481789350919772,0.005455273497930449,22,900,700,40,40,entropy
38,2.2339086055755617,0.11612989511688308,0.0,0.0,250,100,0,28,entropy,,,,,,,,41,250,100,0,28,entropy
39,5.692890644073486,1.1195374375240914,2.035615825653076,0.683616889255726,750,450,80,16,entropy,0.5641899138246464,0.5646946011077886,0.562814640978084,0.5537624911678611,0.5487155546583224,0.5588354403473405,0.00643398925134367,7,750,450,80,16,entropy
40,6.583972549438476,0.7492177528260526,1.8648056507110595,0.16476852905622294,350,200,100,19,entropy,0.564909093203124,0.5659689364977226,0.5637735468160541,0.555175633390532,0.5507090945795902,0.5601072608974046,0.006058134478149947,2,350,200,100,19,entropy
41,5.732713413238526,1.0614944011982284,1.3734619140625,0.37450970073448203,650,600,40,8,entropy,0.5517998410235058,0.5537933557919175,0.5458319139003495,0.5438200262440699,0.5400852932270112,0.5470660860373707,0.005068651653563292,24,650,600,40,8,entropy
42,4.955069446563721,0.4227223483481206,1.668716049194336,1.0567411665556088,650,950,40,49,entropy,0.5447216018774367,0.5522792939424909,0.5497053887984658,0.5467472494196023,0.5422554759261129,0.5471418019928217,0.0035455612702287196,23,650,950,40,49,entropy
43,1.7975361824035645,0.22327908857399806,0.0,0.0,0,550,0,18,entropy,,,,,,,,41,0,550,0,18,entropy
44,5.841160488128662,1.306149378067079,1.6271517753601075,0.7309194932079943,150,250,60,36,entropy,0.5576920650541908,0.561792649229721,0.5580705805165475,0.5488417280710609,0.5457757141415162,0.5544345474026072,0.006070071532905018,13,150,250,60,36,entropy
45,5.848123836517334,0.8851628388758831,1.4850390911102296,0.3946885264023819,700,550,50,13,entropy,0.5538942932485459,0.5556606987395435,0.5586257365280038,0.5506964772383164,0.5466589280306854,0.553107226757019,0.0041227639424550565,19,700,550,50,13,entropy
46,6.014553785324097,0.612858888184257,1.3182196140289306,0.3888157775191745,900,800,40,49,entropy,0.542021524912626,0.5522792939424909,0.5497053887984658,0.5427223175532452,0.5422554759261129,0.545796800226588,0.004325411300835218,26,900,800,40,49,entropy
47,2.638629198074341,0.6910856964698919,0.0,0.0,800,150,0,36,entropy,,,,,,,,41,800,150,0,36,entropy
48,3.690733814239502,0.1101829168045643,0.16868457794189454,0.17941379664799414,200,800,60,36,entropy,0.550121755807058,0.5624865942440416,0.5604930794756299,0.5525259917230241,0.5458892702129807,0.5543033382925469,0.006272474925257855,18,200,800,60,36,entropy
49,1.4558812618255614,0.3202347233218357,0.0,0.0,50,250,0,4,entropy,,,,,,,,41,50,250,0,4,entropy
